title,project_description,keywords,gse,bioproject_id,bioproject_id_cohort,notes,timepoints,time_type,doses,human_disease,human_atlas,human_dataset,vaccine_type,pathogen_type,target_pathogen,target_antigen,viral_vector,adjuvanted,sample_source,administration_route,sequencing,organism_name
Early spatiotemporal evolution of the immune response elicited by adenovirus vector vaccination,"As the first responders to immunological challenges, the innate immune system has the potential to shape and regulate the ensuing adaptive immune response. Many clinical studies evaluating the role of various innate populations in initiating vaccine-elicited immunity have been largely relegated to blood. It is also largely unknown how the immune response to vaccination is initiating and evolving at the earliest time points post-vaccination. We sought to investigate the spatiotemporal evolution of the earliest immune responses to intramuscular adenovirus serotype 26 (Ad26) vector vaccination in blood and tissues. Using transcriptomic profiling, we show that Ad26 vector vaccination elicits broad transcriptomic changes as early as 1 hour post-vaccination across blood and tissues marked by IL-1, TNF-α, and IL-6 pro-inflammatory pathways. Immunologic data reveals an influx of Ly6C+ myeloid cells into muscle by 1 hour post-vaccination. A Ly6C+CD64+ population emerges in muscle and subsequently in the draining lymph node, suggesting that myeloid cells may be significant drivers of vaccine-elicited immune responses following intramuscular vaccination. Moreover, levels of IL-6, MIG, MIP-1α, and MIP-1β measured in serum at 6 hours post-vaccination positively correlated with the frequency of vaccine-elicited CD8+ T cell responses evaluated at 60 days post-vaccination. Taken together, our data suggests that the immune response to Ad26 vector vaccination commences by 1 hour across compartments and that events at as early as 6 hours post-vaccination can shape vaccine-elicited CD8+ T cell responses at memory time points. Overall design: In this study, we evaluated the early spatiotemporal evolution of the immune response following Ad serotype 26 (Ad26) vector vaccination, focusing on the first 24 hours post-vaccination. We evaluated transcriptomic signatures, cytokine and chemokine profiles, and cellular responses at various time points beginning as early as 1 hour post-vaccination to elucidate the induction of the immunological cascade. These studies highlight that the immune response commences by 1 hour and rapidly evolves across blood and tissues within the first 24 hours post-vaccination.","adenovirus, blood, tissues, intramuscular",GSE264344,1102021,1102021_tissues,NA,1//3//6//12//24//72,Hour,,Yes,No,,Viral vector,virus,None,Whole,Ad26,No,Several tissues,?,Bulk,Mus musculus
Effect of mRNA vaccine on Epigenetic and Transcriptomic Profiles of Kupffer Cells (RNA-Seq),"The result show that an mRNA/LNP vaccine induced significant numbers of differentially expressed genes (DEG). The analysis identified 123 DEGs between control PBS and mRNA/LNP vaccinated groups where 23 genes and 100 genes were upregulated and downregulated, respectively, in the mRNA/LNP group. To understand the biological changes from the transcriptomic data, gene set enrichment analysis (GSEA) was performed using the whole transcriptome data set. GSEA identified the biological pathways associated with interferon gamma response and protein secretion as the top two ‘Hallmark’ gene sets enriched in OVA mRNA/LNP group, compared to PBS group. Overall design: The mRNA encoding a model antigen ovalbumin (OVA) were prepared by in vitro translation  and the mRNA was formulated with LNP for mRNA delivery. mRNA/LNP was administered via intramuscular route (10 µg per mouse). RNA-seq was performed in total RNA isolated from F4/80+ liver resident macrophages from livers of mice immunized with OVA mRNA/LNP or PBS control.","mrna, OVA",GSE267045,1109402,,NA,NA,,,NA,No,,mRNA,NA,None,OVA,NA,No,Liver (resident macrophages),?,Bulk,Mus musculus
NA,"Gene expression data from mouse organs after Advax injection Advax, an inulin-derived microparticle, has been developed as an adjuvant for several vaccines. Advax is a unique class of adjuvant which can potentiate the endogenous adjuvant effect of the vaccines through a not yet fully-identified, unique mechanisms of action. Overall design: C57BL/6J mice (6 week old, male, n = 2 or 3) were injected i.d. or i.p. with a total volume of 1000ug of Advax in PBS. The vehicle-control mice (n = 2 or 3) were injected with the same volume of PBS. After 6 h, the inguinal LNs, liver, kidney and spleen were removed (within one hour for all samples) and grobal gene expression was obtained by Affymetrix GeneChip.","advax, inulin, adjuvant, microarray",GSE89249,350829,,Adjuvant only,6,Hour,,Yes,No,,NA,NA,None,Adjuvant,NA,Advax (inulin microparticle),NA,Intradermal//Intraperitoneal,Microarray,Mus musculus
NA,"The goal of this study was to identify the transcriptional mechanisms involved in the activation of the immune system by QS-21, a triterpene glycoside purified from the bark of Quillaja saponaria which has adjuvant activity in vivo. Saponins represent a promising class of vaccine adjuvant. Together with the TLR4-ligand MPL, QS-21 is  part of the Adjuvant System AS01, a key component of the Malaria and Zoster candidate vaccines that  display demonstrated clinical efficacy. However, the mechanism of action of QS-21 in this liposomal  formulation is poorly understood. Upon intra-muscular immunisation, we observed that QS-21 rapidly  accumulated in CD169+ resident macrophages of the draining lymph node where it elicited a local  innate immune response. Depletion of these cells abrogated QS-21-mediated innate cell recruitment  to the lymph node, dendritic cell (DC) phenotypic maturation as well as the adjuvant effect on T cell and  antibody responses to co-administered antigens. DCs rather than lymph node-resident macrophages  were directly involved in T cell priming by QS-21 as revealed by the decrease in antigen-specific T cell  response in Batf3−/− mice. Further analysis showed that the adjuvant effect of QS-21 depended on the  integration of Caspase-1 and MyD88 pathways, at least in part through the local release of HMGB1.  Taken together, this work unravels the key role of lymph node sentinel macrophage in controlling the  adjuvant effect of a molecule proven to improve vaccine response in humans Overall design: C57BL/6 mice (6-8 weeks old) were immunized in both hind limbs, in the gastrocnemius (gcm) muscles and in a volume of 50 µl/muscle with QS-21 (100mg/ml) formulated in liposomes or PBS. Ileac lymph nodes were identified as draining in setup experiments. Each tissue sample consisted of a pool of tissues of 2 mice ( either dLN or muscle). Total RNA was isolated by homogenizing tissues in Tripure reagent (1 ml/100 mg tissue; Roche Applied Science) and then extracted with chloroform followed by RNeasy™ Minikit (Qiagen) according to the manufacturer’s protocol. A DNAse treatment was applied on the RNeasy column to avoid genomic DNA contamination. RNA was concentrated by ethanol precipitation, and quantified by RiboGreen™ (Life Technologies). 1 µg of each RNA sample was used for target preparation,using a one-cycle cDNA synthesis kit, and hybridized to GeneChip_ Whole Mouse Genome 430 2.0 arrays (Affymetrix). Data acquisition was performed using GeneChip Operating Software (Affimetrix). For each condition, 6 mice were treated. dLN from 2 mice were pooled for each hybridization. 3 replicate chips were analysed per condition. Muscle_QS-21_4hpost_2 and Muscle_PBS_2hpost_3 have been excluded since they did not pass QC.","saponin, adjuvants",GSE90864,356243,,Adjuvant only,NA,,,NA,No,,Adjuvant,NA,None,None,NA,Saponin,NA,?,Microarray,Mus musculus
NA,"Immunization with adjuvanted antigen results in coordinate changes in gene expression. Combination adjuvants exploit the interplay between different immunostimulants to promote immune response to vaccination. The Adjuvant System 01 (AS01) is a liposome-based combination adjuvant which contains two immunostimulants, MPL and QS-21   Here, we assess the contribution of the components of AS01 on its immunogenicity by comparing the transcriptional response induced in the draining lymph node by AS01, MPL and QS-21 at 2,4 or 6h after intramuscolar (i.m.) immunization Overall design: C57BL/6 mice (6-8 weeks old) were immunized in both hind limbs, in the gastrocnemius (gcm) muscles and in a volume of 50 µl/muscle with AS01b (100mg/ml QS-21 + 100mg/ml MPL) or QS-21 (100mg/ml) or MPL (100mg/ml), all formulated in liposomes. Ileac lymph nodes were identified as draining in setup experiments. Total RNA was isolated by homogenizing pooled dLN in Tripure reagent (1 ml/100 mg tissue; Roche Applied Science) and then extracted with chloroform followed by RNeasy™ Minikit (Qiagen) according to the manufacturer’s protocol. A DNAse treatment was applied on the RNeasy column to avoid genomic DNA contamination. RNA was concentrated by ethanol precipitation, and quantified by RiboGreen™ (Life Technologies). 1 g of each RNA sample was used for target preparation,using a one-cycle cDNA synthesis kit, and hybridized to GeneChip_ Whole Mouse Genome 430 2.0 arrays (Affymetrix). Data acquisition was performed using GeneChip Operating Software (Affimetrix). For each condition, 6 mice were treated. dLN from 2 mice were pooled for each hybridization. 3 replicate chips were analysed per condition.","adjuvant, AS01, bulk, lymph nodes",GSE98322,384711,,Adjuvants,NA,,,NA,No,,NA,NA,None,None,NA,AS01,Lymph node,?,Bulk,Mus musculus
NA,The project elucidates how inflammatory environment during immunization modulates qualitative aspects of IgG antibody responses. We immunized mice (n=3 per group) i.p. with ovalbumin and an adjuvant – either complete Freund’s adjuvant (CFA) or LPS – to induce T-cell-dependent immune responses of different strength and quality and then analyzed the transcriptome of sorted splenic IgM− B220lo CD138+ plasma cells (about 80% of them are IgG+) on day 8. This study could help identify molecular pathways and markers to target unwanted plasma cells in autoimmune disorders as well as to develop better vaccination strategies,"ova, adjuvant, freund, lps",NA,381006,,NA,NA,,,NA,No,,NA,NA,None,OVA,NA,"Freund, LPS",NA,?,NA,Mus musculus
NA,The project elucidates how inflammatory environment during immunization modulates qualitative aspects of IgG antibody responses. We immunized mice (n=3 per group) i.p. with ovalbumin and an adjuvant – either complete Freund’s adjuvant (CFA) or LPS – to induce T-cell-dependent immune responses of different strength and quality and then analyzed the transcriptome of sorted splenic IgG1+ germinal center (GC) B cells on day 8. This study could help identify molecular pathways and markers to target unwanted GC B cells in autoimmune disorders as well as to develop better vaccination strategies.,"adjuvant, OVA, freund, lps,",NA,352913,,Adjuvant only,8,Day,,NA,No,,NA,NA,None,OVA,NA,"LPS, Freund",NA,?,,Mus musculus
Lipid nanoparticles as adjuvant of Norovirus VLP vaccine augment cellular and humoral immune responses in a TLR 9- and type I IFN-dependent pathway,"Norovirus (NoV) virus-like particles (VLPs) adjuvanted with aluminum hydroxide (Alum) are common vaccine candidates in clinical studies. Alum adjuvants usually inefficiently assist recombinant proteins to induce cellular immune responses. Thus, novel adjuvants are required to develop NoV vaccines that could induce both efficient humoral and robust cellular immune responses. Lipid nanoparticles (LNPs) are well-known mRNA delivery vehicles. Increasing evidence suggests that LNPs may have intrinsic adjuvant activity and can be used as adjuvants for recombinant protein vaccines; however, the underlying mechanism remains poorly understood. In this study, we compared the adjuvant effect of LNPs and Alum for a bivalent GI.1/GII.4 NoV VLP vaccine. Compared with Alum, LNP-adjuvanted vaccines induced earlier production of binding, blocking and neutralizing antibodies and promoted a more balanced IgG2a/IgG1 ratio. It is crucial that LNP-adjuvanted vaccines induced stronger Th1-type cytokine-producing CD4+ T cell and CD8+ T cell responses than Alum. The adjuvant activity of LNPs depended on the ionizable lipid components. Mechanistically, LNPs activated innate immune responses in a type I IFN-dependent manner and were partially dependent on Toll-like receptor (TLR) 9, thus affecting the adaptive immune responses of the vaccine. This conclusion was supported by RNA-seq analysis and in vitro cell experiments and by the deeply blunted T cell responses in IFNαR1−/− mice immunized with LNP-adjuvanted vaccines. This study not only identified LNPs as a high quality adjuvant for NoV VLP vaccines, but also clarified the underlying mechanism of LNPs as a potent immunostimulatory component for improving protein subunit vaccines. Overall design: To explore the underlying mechanism of LNPs in initiating an innate immune response, which is required for generating an effective adaptive immune response. Female BABL/c mice were randomly divided into seven groups (n = 4/group), as follows: (1) Naive, (2) Alum, (3) High LNP, (4) Low LNP + GI.1/GII.4, (5) High LNP + GI.1/GII.4, (6) Alum + GI.1/GII.4, and (7) GI.1/GII.4. Mice were immunized i.m. in both hind limbs. After 24 h, the mouse draining lymph nodes (dLNs), including popliteal, inguinal, and iliac LNs were collected for RNA-seq (n = 4/group).","norovirus, vlp, female, lymph node",GSE279372,1172312,,NA,NA,,,Yes,No,,VLP,virus,Norovirus,GI.1/GII.4,Several,?,Lymph node,?,Bulk,Mus musculus
IL-27 in vaccine elicited cellular immunity,"5000 congenically marked (CD45.1) WT or IL-27R-/- OT1 T cells were transferred into WT B6 hosts (CD45.2). One day later, the mice were immunized with ovalbumin (100 µg), PolyIC (40 µg) and anti-CD40 antibody (FGK4.5, 40 µg).  3 days after immunizayion, spleens were harvested and the OT1 T cells isolated by flow sorting based on CD45.1 expression. Each sample is the result of pooling T cells from 3 individual mice.  RNA was isolated from the sorted cells and RNAseq performed. Overall design: RNAseq of transferred WT and IL-27R-/- OT1 T cells isolated 3 days  after combined polyIC/aCD40 immunization","rnaseq, ova, polyic, antidc40, ?",GSE112920,449508,,NA,NA,,,NA,No,,NA,NA,OVA,None,NA,Poly I:C and Anti-CD40,NA,?,Bulk,Mus musculus
NA,"Mice received barcode-labelled OT-I T cells and were challenged with a DNA vaccine, encoding the OVA peptide,  which was applied locally on the skin of the hind legs. 12 days after vaccination, we performed single cell RNA sequencing on circulating effector CD8+ T cells (isolated from blood). We detected cells which transcriptionally resemble mature tissue resident memory T cells. Overall design: Blood samples were collected from 3 vaccinated recipient mice, barcode-labelled OT-I T cells were isolated by FACS, after which cells were processed for scRNA-seq was preformed (10X Chromium 3' kit), and sequenced on NextSeq","scRNAseq, DNA vaccine, OVA peptide, T cells",GSE152282,638892,,NA,NA,,,NA,No,,DNA,NA,OVA,Peptides,NA,NA,T cells,?,scRNAseq,Mus musculus
Effect of vaccine administration routes on responses to a Bordetella pertussis outer membrane vesicle vaccine - lung,"Pulmonary immunization with an outer membrane vesicle pertussis vaccine led to improved protection and induction of a completely distinct immune response compared to subcutaneous administration. These adaptive responses were linked to early local and systemic signatures on the transcriptome level. Overall design: 23 arrays, including replicates and controls, analyzed on Affymetrix genechips","pertussis, microarray",GSE83602,326474,,NA,NA,,,Yes,Yes,,Subunit,bacteria,Pertussis,Vesicle,NA,NA,Lungs,?,Microarray,Mus musculus
Effect of vaccine administration routes on responses to a Bordetella pertussis outer membrane vesicle vaccine - lymph nodes,"Pulmonary immunization with an outer membrane vesicle pertussis vaccine led to improved protection and induction of a completely distinct immune response compared to subcutaneous administration. These adaptive responses were linked to early local and systemic signatures on the transcriptome level. Overall design: 48 samples, including replicates and controls, analyzed on Affymetrix genechips","pertussis, pulmonary, microarray",GSE83603,326478,,NA,NA,,,Yes,Yes,,Subunit,bacteria,Pertussis,Vesicle,NA,NA,Lungs,?,Microarray,Mus musculus
Gene expression of liver of vaccination-protected mice in response to early patent infections of Plasmodium chabaudi blood-stage malaria,"The role of the liver for survival of blood-stage malaria is only fragmentary understood. In the experimental blood-stage malaria Plasmodium chabaudi, protective vaccination induces self-healing and, thus, survival of otherwise lethal infections. This study investigates the response of the liver, in terms of mRNA and lincRNA expression, to vaccination-induced self-healing infections and lethal P. chabaudi malaria at early patency on day 4 p.i., when parasitized erythrocytes begin to appear in peripheral blood. Using gene expression microarrays, 23 genes were identified to be induced in the liver by >10-fold at p<0.01. More than one third were genes involved in erythropoiesis, as e.g. Kel, Rhag, Ahsp, Ermap, Slc4a1, Cldn13 Gata1, and Gfi1b. Another group of >10-fold expressed genes  contain genes involved in natural cytotoxicity, as those encoding the killer cell lectin-like like receptors Klrb1a, Klrc3, Klrd1, Ncr1 and the granzyme B encoding Gzmb. In addition, there were identified a series of genes involved in the control of cell cycle and mitosis, as Ccnb1, Cdc25c, Ckap2l expressed by >10-fold only in vaccination-protected mice, and 22 genes being at least 100% higher expressed in vaccination-protected mice than the corresponding genes significantly expressed in non-vaccinated mice. Furthermore, distinct lincRNA species were changed by >3-fold in livers of vaccination-protected mice, whereas lethal malaria induced different lincRNAs. Our data suggest that protective vaccination accelerates extramedullary erythropoiesis, generation of liver-resident cytotoxic cells, and regeneration from malaria-induced injuries in the liver at early patency, which may be critical for final survival of otherwise lethal blood-stage malaria of P. chabaudi. Mice: Balb/c mice breeded under specified pathogen-free conditions were delivered from central animal facilities of the University of Düsseldorf. The experiments were performed only with female mice aged 10-12 weeks. They were housed in plastic cages, received a standard diet (Woehrlin, Bad Salzuflen, Germany) and water ad libitum. This study was carried out in strict accordance with the German law on animal protection. The keeping of mice as well as the experimental protocol of the study were officially approved by the State-controlled Committee on the Ethics of Animal Experiments of the State Nordrhein-Westfalen, Germany, and were regularly controlled, without being previously announced, by the local authorities. All efforts were undertaken to minimize suffering of mice. P. chabaudi malaria infection: Blood-stage infections of P. chabaudi were kept in outbred mice under sterile conditions by weekly passages of infected blood. A non-clonal line of P. chabaudi is used in our laboratory since 1982, which resembles to P. chabaudi chabaudi. Challenge of Balb/c mice with 10^6 P. chabaudi-infected erythrocytes, Protective vaccination: As a vaccine, host cell plasma membranes were used, which were isolated in the form of ghosts from P. chabaudi-parasitized erythrocytes Approximately 10^6 ghosts were suspended in 100 µl Freund’s complete adjuvant (FCA) and subcutaneously injected on week 3 and week 1 before infecting with P. chabaudi-parasitized erythrocytes. Control mice were treated in parallel only FCA. Overall design: 12 samples were analyzed: Nd0, Nd4, Vd0, Vd4.  3 replicates each.","plasmodium, malaria,",GSE111110,435948,,NA,NA,,,Yes,No,No,Infection,protozoa,Plasmodium chabaudi (blood-stage),Whole,NA,NA,NA,?,Microarray,Mus musculus
Gut IgA Enhances Systemic IgG Responses to Pneumococcal Vaccines Through the Commensal Microbiota,"We set up to characterize the global transcriptome of splenic follicular (FO) B cells from control wild type (Wt) and Igha-deficient (IgAKO) mice with the aim of gaining new insights into how translocated gut antigens may impair IgG production to vaccines in the absence of IgA. Splenic Marginal zone (MZ) B cells were also included in this study, as IgA deficiency impaired IgG responses to T-independent immunogens as well. Overall design: RNA from sorted splenic MZ B cells and FO  B cells were obtained from 4-5 age- and sex-matched wild type and IgA-deficient (IgAKO) mice.","spleen, pneumococcal, microbiota",GSE173361,725246,,Not many info,NA,,,Yes,Yes,,NA,bacteria,Pneumococcal,,NA,NA,Spleen,?,Bulk,Mus musculus
High-throughput sequencing after immunization with pep27 mutant,"Purpose; The aim of this study is to find out the difference of gene expression by immunization with the pep27 mutant vaccine. Method; After immunization with the pep27 mutant vaccine, mRNA was extracted from lung and spleen. Result; Both B and T cells were activated by the pep27 mutant vaccine. Overall design: mRNA profiles of immunized group in lung and spleen were compared to the non-immunized group.","pep27, pneumococcal, spleen, lungs,",GSE93718,362195,362195_lungs,NA,NA,,,Yes,Partial,None,Subunit,bacteria,Pneumococcal,Pep27,NA,NA,Lungs,?,Bulk,Mus musculus
High-throughput sequencing after immunization with pep27 mutant,"Purpose; The aim of this study is to find out the difference of gene expression by immunization with the pep27 mutant vaccine. Method; After immunization with the pep27 mutant vaccine, mRNA was extracted from lung and spleen. Result; Both B and T cells were activated by the pep27 mutant vaccine. Overall design: mRNA profiles of immunized group in lung and spleen were compared to the non-immunized group.","pep27, pneumococcal, spleen, lungs,",GSE93718,362195,362195_spleen,NA,NA,,,Yes,Partial,None,Subunit,bacteria,Pneumococcal,Pep27,NA,NA,Spleen,?,Bulk,Mus musculus
Transcriptome of  draining lymph nodes from the mice immunized with RABV,Here we show the transcriptome of lymph nodes draining from RABV vaccinated B6 mice and TLR7 KO mice. These differential transcripts will provide a reference for studies focus on the relationship between TLR7-denpendent signaling and humoral immunity. Overall design: B6 mice were vaccinated with RABV and RNA from draining lymph nodes were collected at 7 day p.i.,"RABV, RNA",GSE122637,505824,,NA,7,Day,,Yes,Yes,None,Attenuated,virus,Rabies virus,Whole,NA,NA,Lymph node,?,Bulk,Mus musculus
Respiratory syncytial virus (RSV) F subunit vaccine with adjuvants affect immunity in BALB/c mice,"Purpers: To verify the effect of adjuvants (Alhydrogel, AS02, AS03) on immunity of  BALB/c mice induced by RSV-F subunit vaccine at the level of gene expression. Methodes:Four groups ((1) RSV-F, (2) RSV-F + Alhydrogel, (3) RSV-F + AS02, and (4) RSV-F + AS03) were analyzed in the transcriptome sequencing experiment. On days 0 and 14,  vaccines were administered intramuscularly into the thigh muscle. 14 days after the last vaccination, blood samples from three  BALB/c mice in each group were collected. RNA degradation and contamination were assayed. Concentration were measured using a Qubit RNA Assay Kit and a Qubit 2.0 Fluorometer. RNA integrity was assessed using an RNA Nano 6000 Assay Kit and a Bioanalyzer 2100 system. 3 μg RNA per qualified sample was used as input material for RNA library preparation. Sequencing libraries were generated using a NEBNext Ultra RNA Library Prep Kit for Illumina (New England Biolabs, US), and unique index codes were added to each sample. Result: We obtained sample gene expression information. The subsequent differentially expressed gene GO and KEGG enrichment analysis result suggested that AS02 regulates immune balance by activating TLR-4 and promotes Th1-type immune responses. Overall design: Total RNA transcriptome sequencing of four groups administered intramuscularly  RSV-F subunit vaccine with or without adjuvants","RSV, subunit vaccine, adjuvants",GSE143617,601122,,NA,0//14,Day,,Yes,No,,Subunit,virus,RSV,F protien,NA,"AS02, AS03",NA,?,Bulk,Mus musculus
Recombinant RSV G protein vaccine induces enhanced respiratory disease via IL-13 and mucin overproduction,"The G protein expressed on the surface of respiratory syncytial virus (RSV) is important for adhesion to host cells and as a vaccine target antigen. The corresponding vaccines can effectively eliminate RSV, but exacerbate pulmonary immunopathology, such as eosinophil infiltration into the lungs, after the RSV challenge in animal models, raising concerns about enhanced respiratory disease (ERD), creating a need for approaches that mitigate these effects. Herein, we aimed to examine the mechanisms of G protein vaccine-induced ERD in mice, using recombinant G protein as a vaccine antigen. After the RSV challenge, G protein-vaccinated mice exhibited lung weight gain, lung tissue damage, and increased infiltration of eosinophils, neutrophils, and CD4+ T cells into the lungs. We set lung weight gain as the endpoint for ERD and examined the impact of each infiltrating cell on lung weight gain. We observed that CD4+ T cells, but not eosinophils or neutrophils, that infiltrate the lungs are responsible for lung weight gain. In addition, T helper 2 cell-mediated IL-13 induced mucin hypersecretion and lung weight gain. Mucin hypersecretion may contribute to weight gain in the lungs. In conclusion, our results indicate a novel mechanism of G protein vaccine-induced ERD via IL-13 and mucin hypersecretion, which could lead to the development of safe G protein vaccines and the elucidation of the causes of ERD associated with other vaccines. Overall design: To thoroughly evaluate the ERD inflammatory response induced by the G protein vaccine, we analyzed the gene expression profile from an RNA-seq data obtained from the lungs of mice subjected to control and experimental treatments (four treatments in total). Comparative gene expression profiles from lungs of mice vaccinated with PBS or G protein, then treated with an IgG isotype control or anti-CD4 antibody, and subsequently challenged with RSV. Samples from mice treated with anti-CD4 antibodies served as reference samples.","rsv, g protein, lungs,",GSE272499,1136980,,NA,NA,,,Yes,No,,Subunit,virus,RSV,G protein,NA,,Lungs,?,Bulk,Mus musculus
NA,"To better understand the biological pathways by which UV inactivated SARS-CoV-induced pulmonary eosinophilia occurs, we examined global transcriptional changes in mouse lungs. Overall design: Female BALB/c mice were used at 21 weeks of age.  Mice were subcutaneously immunized with UV inactivated SARS-CoV (UV-V) or UV-V and Toll like receptor (TLR) ligands at 6 and 1 weeks prior to mouse-adapted SARS-CoV (n=6 per group).  PBS was used in three mice as control immunization.  Mice were intranasally challenged with 1E+6TCID50 in 30μL.  Mice were sacrificed and collected lungs at 1 days after challenge. These mice were used for the analysis of microarray.","sarscov1, microarray",GSE44274,189277,,NA,1//6,Week,,Yes,No,,Inactivated,virus,SARS-CoV-1,Whole,NA,NA,NA,Subcutaneous,Microarray,Mus musculus
"Generation of a Broadly Useful Model for COVID-19 Pathogenesis, Vaccination, and Treatment","COVID-19, caused by SARS-CoV-2, is a virulent pneumonia, with >4,000,000 confirmed cases worldwide and >280,000 deaths as of May 13, 2020.  It is critical to develop and evaluate vaccines and therapeutic interventions as rapidly as possible. Mice, the ideal animal for such studies, are resistant to SARS-CoV-2. Here, we overcome this difficulty by exogenous delivery of human ACE2 with a replication-deficient adenovirus (Ad5-hACE2). Ad5-hACE2-sensitized mice developed pneumonia characterized by weight loss, severe pulmonary pathology, and high-titer virus replication in lungs. Type I interferon, T cells and, most importantly, signal transducer and activator of transcription 1 (STAT1) are critical for virus clearance and diminished disease in these mice. Ad5-hACE2-transduced mice enabled rapid assessments of a vaccine candidate, of human convalescent plasma, and of two antiviral therapies (poly I:C and remdesivir). In summary, we describe a murine model of broad and immediate utility to investigate COVID-19 pathogenesis, and to evaluate new therapies and vaccines. Overall design: We analyzed the gene expression profiles SARS-CoV-2 infected tranduced human ACE2 mouse models","sarscov2, ad5",GSE150847,633852,,"VRPs expressing the SARS-CoV-2 spike protein (S), nucleocapsid protein (N), membrane protein (M), envelope protein (E) or GFP were constructed as previously described (Deming et al., 2006). Mice were primed and boosted (3 weeks after priming) with 1x105 Infectious Units (IU) of VRP-S, VRP-N, VRP-M, VRP-E, or VRP-GFP in the left footpad in 50 μL PBS or intranasally (i.n.) in 50 μL DMEM after light anesthesia with isoflurane. ",NA,,,Yes,Yes,COVID-19 vax atlas,mRNA,virus,SARS-CoV-2,"Structural proteins, VRPs from VEEV",NA,NA,Lungs,?,Bulk,Mus musculus
A single-dose intranasal vaccination elicits systemic and mucosal immunity against SARS-CoV-2,Comparison of the NALT from two groups of mice immunized with and without a liposomally formulated adjuvant Overall design: Single-cell RNA-sequencing of harvested NALT tissues from 2 groups of immunized mice (control and treated with Trimer-STINGa) at the time of euthanasia,"sarscov2, intranasal, scRNAseq",GSE155536,650199,,NA,NA,,,Yes,Yes,COVID-19 vax atlas,mRNA,virus,SARS-CoV-2,Spike + nano STING,NA,Liposome,Liver,Intranasal,scRNAseq,Mus musculus
The mRNA-LNP platform’s lipid nanoparticle component used in preclinical vaccine studies is highly inflammatory,"Vaccines based on mRNA-containing lipid nanoparticles (LNPs) are a promising new platform used by two leading vaccines against coronavirus disease in 2019 (COVID-19). Clinical trials and ongoing vaccinations present with very high protection levels with varying degrees of side effects. However, the nature of the reported side effects remains poorly defined. Here we present evidence that LNPs used in many preclinical studies are highly inflammatory in mice. Intradermal injection of these LNPs led to rapid and robust inflammatory responses, characterized by massive neutrophil infiltration, activation of diverse inflammatory pathways, and production of various inflammatory cytokines and chemokines. The same dose of LNP delivered intranasally led to similar inflammatory responses in the lung and resulted in a high mortality rate.   In summary, here we show that the LNPs used for many preclinical studies are highly inflammatory.  Thus, their potent adjuvant activity and reported superiority comparing to other adjuvants in supporting the induction of adaptive immune responses could stem from their inflammatory nature. Furthermore, the preclinical LNPs are similar to the ones used for human vaccines, which could also explain the observed side effects in humans using this platform. Overall design: A total of 8 samples are included in this study with 4 replicates each for naive and immunized mice.","mrna, sarscov2, side effects,",GSE167521,704856,,Side effects,NA,,,Yes,Yes,COVID-19 vax atlas,mRNA,virus,SARS-CoV-2,LNP,NA,NA,Skin,Intradermal,Bulk,Mus musculus
Gene expression on SARS CoV-2 specific CD8 T cells after SARS CoV-2 vaccination,"We studied the impact of a vaccine prime dose on CD8 T cell gene expression We first immunized mice with an Ad5-SARS CoV-2 spike vaccine and then evaluated gene expression on SARS CoV-2 specific CD8 T cells at week 4. Overall design: We interrogated whether vaccine prime dose affects gene expression on SARS CoV-2 specific CD8 T cells. To answer this, we immunized C57BL/6 mice intramuscularly with a low dose (LD, 10^6 PFU) or a standard dose (SD, 10^9 PFU) of a SARS CoV-2 vaccine (Ad5-SARS CoV-2 spike). After 4 weeks, we purified splenic CD8 T cells by MACS negative selection, and performed FACS-sorting on live CD8+ CD44+ Kb VNFNFNVL+ (SARS CoV-2 specific CD8 T cells). Purified cells were then delivered to the NUSeq Core for single cell RNA-Seq.","sarscov2, tcd8, adenovirus, ad5, scRNAseq",GSE173567,726170,,NA,4,Week,,Yes,Yes,COVID-19 vax atlas,Viral vector,virus,SARS-CoV-2,Spike,Ad5,NA,Spleen (TCD8+),Intramuscular,scRNAseq,Mus musculus
Single cell immune response to the mRNA SARS-CoV-2 vaccine and yellow fever in the lymph nodes of mice,"Purpose: to understand the mechanisms of vaccines in the lymph nodes of mice Methods: mice were treated with mRNA SARS-CoV-2 vaccine or the yellow fever vaccine. The draining inguinal or illiac lymph nodes were harvested 1, 3, or 7 days after treatment and analyzed by scRNA-seq Results: TBD Conclusions: TBD Overall design: Mice treated with either yellow fever vaccine (YFV) or Pfizer BioNTech mRNA COVID vaccine (mRNA). Samples were taken from the draining inguinal lymph node (LN) or the illiac lymph node (LC). Lymph nodes were harvested one day (D1), three days (D3) and seven days (D7) after treatment.","scRNAseq, mrna, sarscov2, yellow fever",GSE179131,742383,742383_sars2,NA,,,,Yes,Yes,COVID-19 vax atlas,Attenuated,virus,SARS-CoV-2,Spike,NA,No,Lymph node,?,scRNAseq,Mus musculus
